periodo_origen;periodo_destino;seccion_origen;seccion_destino;Tipo;n_ruc
202501;202502;0;0;Asociaciones;1678
202501;202502;0;M;Asociaciones;1
202501;202502;0;N;Asociaciones;1
202501;202502;0;P;Asociaciones;1
202501;202502;0;R;Asociaciones;1
202501;202502;A;A;Asociaciones;5299
202501;202502;A;C;Asociaciones;2
202501;202502;A;G;Asociaciones;1
202501;202502;B;B;Asociaciones;56
202501;202502;C;C;Asociaciones;818
202501;202502;D;D;Asociaciones;13
202501;202502;E;E;Asociaciones;264
202501;202502;E;S;Asociaciones;1
202501;202502;F;F;Asociaciones;107
202501;202502;F;G;Asociaciones;1
202501;202502;G;A;Asociaciones;3
202501;202502;G;G;Asociaciones;840
202501;202502;G;H;Asociaciones;1
202501;202502;G;I;Asociaciones;1
202501;202502;G;L;Asociaciones;1
202501;202502;G;S;Asociaciones;1
202501;202502;H;G;Asociaciones;1
202501;202502;H;H;Asociaciones;392
202501;202502;H;S;Asociaciones;1
202501;202502;I;A;Asociaciones;1
202501;202502;I;I;Asociaciones;202
202501;202502;J;J;Asociaciones;97
202501;202502;K;K;Asociaciones;23
202501;202502;L;H;Asociaciones;1
202501;202502;L;L;Asociaciones;142
202501;202502;L;N;Asociaciones;1
202501;202502;L;S;Asociaciones;1
202501;202502;M;A;Asociaciones;1
202501;202502;M;C;Asociaciones;1
202501;202502;M;M;Asociaciones;1001
202501;202502;M;S;Asociaciones;2
202501;202502;N;G;Asociaciones;1
202501;202502;N;N;Asociaciones;240
202501;202502;O;O;Asociaciones;169
202501;202502;P;H;Asociaciones;1
202501;202502;P;P;Asociaciones;1412
202501;202502;Q;Q;Asociaciones;711
202501;202502;R;G;Asociaciones;1
202501;202502;R;I;Asociaciones;1
202501;202502;R;N;Asociaciones;1
202501;202502;R;R;Asociaciones;806
202501;202502;R;S;Asociaciones;1
202501;202502;S;A;Asociaciones;17
202501;202502;S;C;Asociaciones;4
202501;202502;S;G;Asociaciones;4
202501;202502;S;H;Asociaciones;4
202501;202502;S;I;Asociaciones;2
202501;202502;S;P;Asociaciones;1
202501;202502;S;R;Asociaciones;1
202501;202502;S;S;Asociaciones;26144
202501;202502;T;T;Asociaciones;3
202501;202502;U;U;Asociaciones;11
202501;202502;0;0;Empresa individual de resp. Ltda.;1481
202501;202502;0;A;Empresa individual de resp. Ltda.;1
202501;202502;0;C;Empresa individual de resp. Ltda.;3
202501;202502;0;F;Empresa individual de resp. Ltda.;8
202501;202502;0;G;Empresa individual de resp. Ltda.;9
202501;202502;0;H;Empresa individual de resp. Ltda.;1
202501;202502;0;I;Empresa individual de resp. Ltda.;1
202501;202502;0;J;Empresa individual de resp. Ltda.;1
202501;202502;0;L;Empresa individual de resp. Ltda.;1
202501;202502;0;M;Empresa individual de resp. Ltda.;4
202501;202502;0;N;Empresa individual de resp. Ltda.;4
202501;202502;0;P;Empresa individual de resp. Ltda.;1
202501;202502;0;S;Empresa individual de resp. Ltda.;2
202501;202502;A;A;Empresa individual de resp. Ltda.;4065
202501;202502;A;B;Empresa individual de resp. Ltda.;2
202501;202502;A;C;Empresa individual de resp. Ltda.;4
202501;202502;A;G;Empresa individual de resp. Ltda.;19
202501;202502;A;H;Empresa individual de resp. Ltda.;3
202501;202502;A;J;Empresa individual de resp. Ltda.;1
202501;202502;A;M;Empresa individual de resp. Ltda.;2
202501;202502;A;N;Empresa individual de resp. Ltda.;3
202501;202502;A;P;Empresa individual de resp. Ltda.;1
202501;202502;B;B;Empresa individual de resp. Ltda.;3432
202501;202502;B;C;Empresa individual de resp. Ltda.;4
202501;202502;B;F;Empresa individual de resp. Ltda.;2
202501;202502;B;G;Empresa individual de resp. Ltda.;21
202501;202502;B;H;Empresa individual de resp. Ltda.;13
202501;202502;B;M;Empresa individual de resp. Ltda.;3
202501;202502;B;N;Empresa individual de resp. Ltda.;5
202501;202502;C;A;Empresa individual de resp. Ltda.;3
202501;202502;C;B;Empresa individual de resp. Ltda.;1
202501;202502;C;C;Empresa individual de resp. Ltda.;25364
202501;202502;C;D;Empresa individual de resp. Ltda.;2
202501;202502;C;E;Empresa individual de resp. Ltda.;4
202501;202502;C;F;Empresa individual de resp. Ltda.;23
202501;202502;C;G;Empresa individual de resp. Ltda.;124
202501;202502;C;H;Empresa individual de resp. Ltda.;20
202501;202502;C;I;Empresa individual de resp. Ltda.;10
202501;202502;C;J;Empresa individual de resp. Ltda.;7
202501;202502;C;K;Empresa individual de resp. Ltda.;2
202501;202502;C;L;Empresa individual de resp. Ltda.;2
202501;202502;C;M;Empresa individual de resp. Ltda.;14
202501;202502;C;N;Empresa individual de resp. Ltda.;16
