Mes;Total;WhatsApp Business;Tawk.to;Facebook Messenger;Tidio;Zendesk;Otros
Dic-2023;97;58;18;8;5;2;6
Ene-2024;100;62;17;11;5;2;3
Feb-2024;91;58;13;10;5;2;3
Mar-2024;90;59;12;10;4;2;3
Abr-2024;90;55;14;9;6;2;4
May-2024;88;51;15;10;7;2;3
Jun-2024;97;59;15;10;8;2;3
Jul-2024;94;56;14;10;9;2;3
Ago-2024;98;59;12;11;9;3;4
Set-2024;92;56;12;10;7;3;4
Oct-2024;88;54;13;8;8;3;2
Nov-2024;90;56;13;8;7;3;3
Dic-2024;89;55;14;9;8;2;1
Ene-2025;89;53;13;9;7;2;5
Feb-2025;93;55;14;9;7;2;6
Mar-2025;93;56;13;8;7;3;6
Abr-2025;92;59;10;8;8;2;5
May-2025;94;60;12;7;8;2;5
Jun-2025;91;59;11;8;6;1;6
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
