Año;Mes;CAT B1;CAT B2;CAT C;CAT D;CAT E
2021;Agosto;6,623370091;9,564376287;16,53089683;9,966850747;9,527068737
2021;Septiembre;6,686567611;9,684711779;16,70631068;9,896427524;9,615629254
2021;Octubre;6,692064793;9,746104185;16,87618943;10,12316457;9,535580075
2021;Noviembre;6,617711513;9,612916235;16,73612507;9,896681287;9,626034827
2021;Diciembre;6,631199698;9,692279178;16,82499532;10,05687654;9,651607894
2022;Enero;6,626737589;9,77080054;16,87197434;9,920690099;9,801298738
2022;Febrero;6,670871522;9,843254688;17,12885865;10,17592608;9,845387093
2022;Marzo;6,68055599;9,818828428;17,02919849;9,924485257;9,985513296
2022;Abril;6,659152921;9,829906649;16,90073135;9,777255453;9,729362457
2022;Mayo;6,623289262;9,861640382;16,91998412;9,859828364;9,619329033
2022;Junio;6,641666035;9,958350964;16,83989632;9,883569218;9,685413482
2022;Julio;6,668215603;10,02276878;16,86797398;9,971696251;9,951128348
2022;Agosto;6,74351052;10,08004605;16,8283266;9,846181227;9,789643764
2022;Septiembre;6,7427852;10,19585569;16,77087462;9,923742265;9,939445354
2022;Octubre;6,788748904;10,23278355;16,70653484;10,1029971;9,935920848
2022;Noviembre;6,803386659;10,21103018;16,63301307;9,975137607;9,874124182
2022;Diciembre;6,830591297;10,22949637;16,60474247;9,842013109;9,914053685
2023;Enero;6,754389099;10,1381677;16,42581763;9,951550529;9,72827452
2023;Febrero;6,846660602;10,15912072;16,42516886;10,04280423;9,623565098
2023;Marzo;6,897839204;10,16964163;16,41004302;10,10889291;9,623267515
2023;Abril;6,964219739;10,26614463;16,44750826;10,08722968;9,522742152
2023;Mayo;7,036362716;10,35182319;16,50137821;10,1466702;9,585703318
2023;Junio;7,061947809;10,4468148;16,54621234;10,19931444;9,724297396
2023;Julio;7,135449058;10,54347506;16,48887472;10,36360924;9,751103042
2023;Agosto;7,333615433;10,71362037;16,55783401;10,72572496;10,02710137
2023;Septiembre;7,374905038;10,75289848;16,54057889;10,6879623;10,12223569
2023;Octubre;7,396517888;10,84901015;16,46028157;10,79138046;10,03178011
2023;Noviembre;7,425909438;10,83046485;16,40707078;10,79097134;10,11036986
2023;Diciembre;7,448745612;10,88272672;16,36929284;10,70869409;10,17719157
2024;Enero;7,379584517;10,78600201;16,20771382;10,47373628;10,04862761
2024;Febrero;6,941059769;10,38303713;15,37649402;10,00018576;9,424757379
2024;Marzo;6,956316113;10,38940441;15,59522085;9,978502716;9,519431307
2024;Abril;6,984056053;10,40490798;15,67071789;9,987779506;9,544011952
2024;Mayo;7,003681352;10,42922856;15,70339159;10,00833051;9,394033767
2024;Junio;6,666243531;10,1962482;15,19960414;8,33894186;8,644878925
2024;Julio;6,212121212;7,2;15,19864887;0,846153846;2,013888889
2024;Agosto;6,804550326;10,6781886;15,74280172;10,15371989;9,224030691
2024;Septiembre;6,818540554;10,68473275;15,78123724;10,09650102;9,268667943
2024;Octubre;6,976412573;10,80332281;15,8815883;10,27271724;9,509973905
2024;Noviembre;15,92484611;18,36221382;20,03675457;19,71925588;19,94838556
2024;Diciembre;15,94500798;18,3505006;20,11915171;19,72368356;20,0535344
2025;Enero;15,94366722;18,31030096;20,13864391;19,67923293;20,08262112
2025;Febrero;15,9458831;18,30918464;20,14672835;19,69955208;20,18801438
2025;Marzo;15,96882794;18,33959785;20,2206533;18,99754571;20,059448
2025;Abril;15,92833733;18,33108902;20,15706562;19,07378612;19,98192263
2025;Mayo;15,92307761;18,33321657;20,12161287;19,70984078;20,06289252
2025;Junio;15,91684575;18,38817192;20,1912012;19,58866749;20,18952753
2025;Julio;15,82033739;18,43529089;20,21855553;19,53635695;20,15262236
