Año;Mes;Paginas
2021;Agosto;155850
2021;Septiembre;150334
2021;Octubre;150041
2021;Noviembre;152090
2021;Diciembre;157283
2022;Enero;150372
2022;Febrero;141187
2022;Marzo;146580
2022;Abril;147871
2022;Mayo;144595
2022;Junio;141267
2022;Julio;140941
2022;Agosto;138820
2022;Septiembre;149825
2022;Octubre;160538
2022;Noviembre;164768
2022;Diciembre;167422
2023;Enero;168345
2023;Febrero;166682
2023;Marzo;165217
2023;Abril;161625
2023;Mayo;158228
2023;Junio;156148
2023;Julio;157348
2023;Agosto;156747
2023;Septiembre;153754
2023;Octubre;152445
2023;Noviembre;151434
2023;Diciembre;150208
2024;Enero;149291
2024;Febrero;147103
2024;Marzo;145326
2024;Abril;146659
2024;Mayo;146782
2024;Agosto;151480
2024;Septiembre;153023
2024;Octubre;154266
2024;Noviembre;171499
2024;Diciembre;171698
2025;Enero;173712
2025;Febrero;174997
2025;Marzo;173323
2025;Abril;176291
2025;Mayo;177630
2025;Junio;178552
2025;Julio;178259
