Año;Meses;Disponible;No disponible;;
2021;Jul-2021;157572;111312;;
2021;Ago-2021;155850;107412;;
2021;Sep-2021;150334;107552;;
2021;Oct-2021;150041;108257;;
2021;Nov-2021;152090;110150;;
2021;Dec-2021;157283;105323;;
2022;Ene-2022;150372;107384;;
2022;Feb-2022;141187;105011;;
2022;Mar-2022;146580;103432;;
2022;Abr-2022;147871;103172;;
2022;May-2022;144595;104073;;
2022;Jun-2022;141273;100103;;
2022;Jul-2022;140951;94711;;
2022;Ago-2022;138820;91850;;
2022;Sep-2022;149825;94587;;
2022;Oct-2022;160538;94151;;
2022;Nov-2022;164770;96051;;
2022;Dec-2022;167424;94818;;
2023;Ene-2023;168345;93239;;
2023;Feb-2023;166682;93675;;
2023;Mar-2023;165217;92410;;
2023;Abr-2023;161625;91751;;
2023;May-2023;158228;92886;;
2023;Jun-2023;156148;90943;;
2023;Jul-2023;157348;88287;;
2023;Ago-2023;156748;86372;;
2023;Sep-2023;153755;86414;;
2023;Oct-2023;152445;85437;;
2023;Nov-2023;151434;84021;;
2023;Dec-2023;150208;84622;;
2024;Ene-2024;149291;84313;;
2024;Feb-2024;147103;85676;;
2024;Mar-2024;145326;85272;;
2024;Abr-2024;146659;85324;;
2024;May-2024;148450;82964;;
2024;Jun-2024;155086;82147;;
2024;Jul-2024;154982;82272;;
2024;Ago-2024;153023;81656;;
2024;Sep-2024;153047;81810;;
2024;Oct-2024;154266;81089;;
2024;Nov-2024;171499;80747;;
2024;Dec-2024;171698;81147;;
2025;Ene-2025;173925;80256;;
2025;Feb-2025;174997;80529;;
2025;Mar-2025;173323;82037;;
2025;Abr-2025;176291;83893;;
2025;May-2025;144595;104073;;
2025;Jun-2025;141273;100103;;
2025;Jul-2025;157572;111312;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
