Ano;Mes;Clasificacion;Categoria;Subcategoria;Valor
2021;Agosto;B;Pasiva (B1);;103380
2021;Agosto;B;Activa (B2);;18454
2021;Agosto;C;;;10972
2021;Agosto;D;Noticias y entretenimiento;Adultos;130
2021;Agosto;D;Negocios;Publicidad;554
2021;Agosto;D;Retail;Subastas;13
2021;Agosto;D;Noticias y entretenimiento;Blogs;12
2021;Agosto;D;Noticias y entretenimiento;Libros;509
2021;Agosto;D;Negocios;Consultoría;1239
2021;Agosto;D;Servicios generales;Crowdfunding;2
2021;Agosto;D;Servicios generales;Citas;597
2021;Agosto;D;Noticias y entretenimiento;e-learning;284
2021;Agosto;D;Negocios;Finanzas;586
2021;Agosto;D;Ocio;Vuelos;129
2021;Agosto;D;Ocio;Comida;1084
2021;Agosto;D;Noticias y entretenimiento;Apuestas;118
2021;Agosto;D;Noticias y entretenimiento;Juegos;120
2021;Agosto;D;Ocio;Vacaciones;2932
2021;Agosto;D;Ocio;Hoteles;1237
2021;Agosto;D;Retail;Vivienda;2055
2021;Agosto;D;Negocios;Empleos;61
2021;Agosto;D;Noticias y entretenimiento;Noticias;2731
2021;Agosto;D;Servicios generales;Pago en línea;44
2021;Agosto;D;Retail;Online trade;568
2021;Agosto;D;Retail;Tickets;59
2021;Agosto;D;Servicios generales;Transporte;453
2021;Agosto;D;Noticias y entretenimiento;Videos, música;1368
2021;Agosto;D;Servicios generales;Visualizaciones;50
2021;Agosto;D;Noticias y entretenimiento;Vlogs;7
2021;Agosto;E;Websites and app;Diseño y desarrollo de apps;344
2021;Agosto;E;Cloud & Hosting;Backup services;20
2021;Agosto;E;Cloud & Hosting;Database services;50
2021;Agosto;E;Datamining & Big Data;Datamining & Big Data;170
2021;Agosto;E;Infraestructura y ciberseguridad;Firewalls;101
2021;Agosto;E;Infraestructura y ciberseguridad;Hardware;84
2021;Agosto;E;Marketing y consultoría;Consultoría en internet;93
2021;Agosto;E;Marketing y consultoría;Marketing en internet;1354
2021;Agosto;E;Software;Sofware services;367
2021;Agosto;E;Websites and app;Diseño y desarrollo web;2756
2021;Agosto;E;Cloud & Hosting;Webhosting;763
